id,price,url,ts_utc,error
carregadores:Cabo USB-C + Fonte 25W,"R$ 38,70",https://mercadolivre.com/sec/1tNhNAF,2026-03-01T12:51:04.640016+00:00,
carregadores:Cabo iPhone (C/8 pinos) 1m,"R$ 26,90",https://mercadolivre.com/sec/1BBBZxJ,2026-03-01T12:51:06.602048+00:00,
